Tempo de execucao, Iteracoes, Tamanho da entrada, Tamanho Populacao original, Tamanho Populacao no fim, Melhor fit, Tamanho da mochila, Quantidade de sorteados para crossover, Quantidade de crossovers, Quantidade de mutacoes
51, 1532791, 1320, 283, 566, 0, 1000, 100, 22764997, 113565
54, 1586787, 1320, 284, 568, 0, 1000, 100, 23589283, 117814
90, 2536194, 1320, 285, 570, 0, 1000, 100, 37691577, 188039
76, 2234267, 1320, 286, 572, 0, 1000, 100, 33183804, 166466
50, 1457658, 1320, 287, 574, 0, 1000, 100, 21695235, 108739
60, 1806874, 1320, 288, 576, 0, 1000, 100, 26872867, 134340
55, 1684403, 1320, 289, 578, 0, 1000, 100, 25001142, 124915
64, 1893512, 1320, 290, 580, 0, 1000, 100, 28095561, 140942
70, 2175869, 1320, 291, 582, 0, 1000, 100, 32316708, 160917
63, 1902550, 1320, 292, 584, 0, 1000, 100, 28213330, 141193
61, 1763090, 1320, 293, 586, 0, 1000, 100, 26184280, 131182
54, 1629843, 1320, 294, 588, 0, 1000, 100, 24206289, 121311
54, 1694296, 1320, 295, 590, 0, 1000, 100, 25095655, 124868
69, 1986268, 1320, 296, 592, 0, 1000, 100, 29529587, 148477
69, 1974410, 1320, 297, 594, 0, 1000, 100, 29278782, 146500
71, 1952048, 1320, 298, 596, 0, 1000, 100, 28933825, 144525
83, 2407397, 1320, 299, 598, 0, 1000, 100, 35745564, 178663
